unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,state,district,forecast_issue_date,cycle_utc,forecast_issue_time_utc,from_hour,to_hour,interval_label,valid_start_utc,valid_end_utc,valid_date,rain_gfs_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,imd_observed_mm,observed_status,error_gfs_raw_mm,abs_error_gfs_raw_mm,pct_error_gfs_raw,updated_at_utc
district,Maharashtra||Ahamadnagar,Ahamadnagar,,,,Maharashtra,Ahamadnagar,20260905,18,2026-09-05 18:00:00,24,27,24-27 h,2026-09-06 18:00:00,2026-09-06 21:00:00,20260906,0.0000,3.0000,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Maharashtra||Ahamadnagar,Ahamadnagar,,,,Maharashtra,Ahamadnagar,20260905,18,2026-09-05 18:00:00,27,30,27-30 h,2026-09-06 21:00:00,2026-09-07 00:00:00,20260907,0.0142,3.0000,0.0426,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Maharashtra||Ahamadnagar,Ahamadnagar,,,,Maharashtra,Ahamadnagar,20260905,18,2026-09-05 18:00:00,30,33,30-33 h,2026-09-07 00:00:00,2026-09-07 03:00:00,20260907,0.0000,3.0000,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Maharashtra||Ahamadnagar,Ahamadnagar,,,,Maharashtra,Ahamadnagar,20260905,18,2026-09-05 18:00:00,33,36,33-36 h,2026-09-07 03:00:00,2026-09-07 06:00:00,20260907,0.0028,3.0000,0.0085,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Maharashtra||Ahamadnagar,Ahamadnagar,,,,Maharashtra,Ahamadnagar,20260905,18,2026-09-05 18:00:00,36,39,36-39 h,2026-09-07 06:00:00,2026-09-07 09:00:00,20260907,0.0142,3.0000,0.0426,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Maharashtra||Ahamadnagar,Ahamadnagar,,,,Maharashtra,Ahamadnagar,20260905,18,2026-09-05 18:00:00,39,42,39-42 h,2026-09-07 09:00:00,2026-09-07 12:00:00,20260907,0.0369,3.0000,0.1108,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Maharashtra||Ahamadnagar,Ahamadnagar,,,,Maharashtra,Ahamadnagar,20260905,18,2026-09-05 18:00:00,42,45,42-45 h,2026-09-07 12:00:00,2026-09-07 15:00:00,20260907,0.0000,3.0000,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Maharashtra||Ahamadnagar,Ahamadnagar,,,,Maharashtra,Ahamadnagar,20260905,18,2026-09-05 18:00:00,45,48,45-48 h,2026-09-07 15:00:00,2026-09-07 18:00:00,20260907,0.0114,3.0000,0.0341,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,0,3,0-3 h,2026-09-05 18:00:00,2026-09-05 21:00:00,20260905,0.0000,1.0000,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,3,6,3-6 h,2026-09-05 21:00:00,2026-09-06 00:00:00,20260906,0.0000,1.0000,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,6,9,6-9 h,2026-09-06 00:00:00,2026-09-06 03:00:00,20260906,0.0000,1.0000,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,9,12,9-12 h,2026-09-06 03:00:00,2026-09-06 06:00:00,20260906,0.0000,1.0000,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,12,15,12-15 h,2026-09-06 06:00:00,2026-09-06 09:00:00,20260906,0.0000,1.0000,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,15,18,15-18 h,2026-09-06 09:00:00,2026-09-06 12:00:00,20260906,0.0341,1.0000,0.0341,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,18,21,18-21 h,2026-09-06 12:00:00,2026-09-06 15:00:00,20260906,0.0057,1.0000,0.0057,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,21,24,21-24 h,2026-09-06 15:00:00,2026-09-06 18:00:00,20260906,0.0057,1.0000,0.0057,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,24,27,24-27 h,2026-09-06 18:00:00,2026-09-06 21:00:00,20260906,0.0057,1.0000,0.0057,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,27,30,27-30 h,2026-09-06 21:00:00,2026-09-07 00:00:00,20260907,0.2330,1.0000,0.2330,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,30,33,30-33 h,2026-09-07 00:00:00,2026-09-07 03:00:00,20260907,0.0057,1.0000,0.0057,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,33,36,33-36 h,2026-09-07 03:00:00,2026-09-07 06:00:00,20260907,0.0000,1.0000,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,36,39,36-39 h,2026-09-07 06:00:00,2026-09-07 09:00:00,20260907,0.0000,1.0000,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,39,42,39-42 h,2026-09-07 09:00:00,2026-09-07 12:00:00,20260907,0.0000,1.0000,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,42,45,42-45 h,2026-09-07 12:00:00,2026-09-07 15:00:00,20260907,0.0057,1.0000,0.0057,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Gujarat||Ahmadabad,Ahmadabad,,,,Gujarat,Ahmadabad,20260905,18,2026-09-05 18:00:00,45,48,45-48 h,2026-09-07 15:00:00,2026-09-07 18:00:00,20260907,0.0057,1.0000,0.0057,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Mizoram||Aizawl,Aizawl,,,,Mizoram,Aizawl,20260905,18,2026-09-05 18:00:00,0,3,0-3 h,2026-09-05 18:00:00,2026-09-05 21:00:00,20260905,0.9896,0.7090,0.7016,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Mizoram||Aizawl,Aizawl,,,,Mizoram,Aizawl,20260905,18,2026-09-05 18:00:00,3,6,3-6 h,2026-09-05 21:00:00,2026-09-06 00:00:00,20260906,0.4896,0.7090,0.3471,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Mizoram||Aizawl,Aizawl,,,,Mizoram,Aizawl,20260905,18,2026-09-05 18:00:00,6,9,6-9 h,2026-09-06 00:00:00,2026-09-06 03:00:00,20260906,0.0000,0.7090,0.0000,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
district,Mizoram||Aizawl,Aizawl,,,,Mizoram,Aizawl,20260905,18,2026-09-05 18:00:00,9,12,9-12 h,2026-09-06 03:00:00,2026-09-06 06:00:00,20260906,1.7292,0.7090,1.2259,0.0000,,SUBDAILY_IMD_UNAVAILABLE,,,,2026-09-05 23:44:53
